DataType;SortType;Threshold;Size;Time_ms
NearlySorted;Standard;0;48000;19.5033
NearlySorted;Standard;0;48100;19.7126
NearlySorted;Standard;0;48200;19.905
NearlySorted;Standard;0;48300;19.7547
NearlySorted;Standard;0;48400;19.9635
NearlySorted;Standard;0;48500;20.6074
NearlySorted;Standard;0;48600;19.5939
NearlySorted;Standard;0;48700;19.6065
NearlySorted;Standard;0;48800;20.456
NearlySorted;Standard;0;48900;19.9975
NearlySorted;Standard;0;49000;20.0214
NearlySorted;Standard;0;49100;20.2525
NearlySorted;Standard;0;49200;21.2642
NearlySorted;Standard;0;49300;21.4132
NearlySorted;Standard;0;49400;20.878
NearlySorted;Standard;0;49500;20.4312
NearlySorted;Standard;0;49600;21.2071
NearlySorted;Standard;0;49700;20.533
NearlySorted;Standard;0;49800;20.3992
NearlySorted;Standard;0;49900;20.1886
NearlySorted;Standard;0;50000;21.0425
NearlySorted;Standard;0;50100;20.5848
NearlySorted;Standard;0;50200;21.8065
NearlySorted;Standard;0;50300;20.9237
NearlySorted;Standard;0;50400;21.0668
NearlySorted;Standard;0;50500;20.7363
NearlySorted;Standard;0;50600;20.7285
NearlySorted;Standard;0;50700;20.7539
NearlySorted;Standard;0;50800;21.0414
NearlySorted;Standard;0;50900;20.9582
NearlySorted;Standard;0;51000;20.8742
NearlySorted;Standard;0;51100;21.0151
NearlySorted;Standard;0;51200;25.9575
NearlySorted;Standard;0;51300;21.5531
NearlySorted;Standard;0;51400;21.5376
NearlySorted;Standard;0;51500;20.8941
NearlySorted;Standard;0;51600;22.2927
NearlySorted;Standard;0;51700;21.117
NearlySorted;Standard;0;51800;21.2487
NearlySorted;Standard;0;51900;21.6311
NearlySorted;Standard;0;52000;23.1818
NearlySorted;Standard;0;52100;21.5549
NearlySorted;Standard;0;52200;21.7859
NearlySorted;Standard;0;52300;21.3739
NearlySorted;Standard;0;52400;21.9238
NearlySorted;Standard;0;52500;21.6861
NearlySorted;Standard;0;52600;22.1657
NearlySorted;Standard;0;52700;21.7381
NearlySorted;Standard;0;52800;21.4566
NearlySorted;Standard;0;52900;21.8689
NearlySorted;Standard;0;53000;21.8126
NearlySorted;Standard;0;53100;21.7009
NearlySorted;Standard;0;53200;21.8333
NearlySorted;Standard;0;53300;23.1138
NearlySorted;Standard;0;53400;21.951
NearlySorted;Standard;0;53500;22.5315
NearlySorted;Standard;0;53600;23.053
NearlySorted;Standard;0;53700;23.3932
NearlySorted;Standard;0;53800;21.8642
NearlySorted;Standard;0;53900;22.1225
NearlySorted;Standard;0;54000;22.7197
NearlySorted;Standard;0;54100;22.7812
NearlySorted;Standard;0;54200;22.0246
NearlySorted;Standard;0;54300;22.3617
NearlySorted;Standard;0;54400;23.3298
NearlySorted;Standard;0;54500;22.3699
NearlySorted;Standard;0;54600;22.4406
NearlySorted;Standard;0;54700;22.5509
NearlySorted;Standard;0;54800;23.02
NearlySorted;Standard;0;54900;23.0254
NearlySorted;Standard;0;55000;23.8779
NearlySorted;Standard;0;55100;22.8164
NearlySorted;Standard;0;55200;22.8752
NearlySorted;Standard;0;55300;22.5335
NearlySorted;Standard;0;55400;23.4286
NearlySorted;Standard;0;55500;22.8438
NearlySorted;Standard;0;55600;28.1986
NearlySorted;Standard;0;55700;26.4415
NearlySorted;Standard;0;55800;24.1694
NearlySorted;Standard;0;55900;23.5255
NearlySorted;Standard;0;56000;23.0232
NearlySorted;Standard;0;56100;23.6772
NearlySorted;Standard;0;56200;23.1372
NearlySorted;Standard;0;56300;22.9034
NearlySorted;Standard;0;56400;23.4234
NearlySorted;Standard;0;56500;23.0061
NearlySorted;Standard;0;56600;23.324
NearlySorted;Standard;0;56700;23.0697
NearlySorted;Standard;0;56800;24.3097
NearlySorted;Standard;0;56900;23.6608
NearlySorted;Standard;0;57000;24.6487
NearlySorted;Standard;0;57100;23.8958
NearlySorted;Standard;0;57200;37.0366
NearlySorted;Standard;0;57300;24.3633
NearlySorted;Standard;0;57400;23.6818
NearlySorted;Standard;0;57500;23.2921
NearlySorted;Standard;0;57600;23.7933
NearlySorted;Standard;0;57700;25.8614
NearlySorted;Standard;0;57800;23.6723
NearlySorted;Standard;0;57900;25.011
NearlySorted;Standard;0;58000;24.3951
NearlySorted;Standard;0;58100;24.2947
NearlySorted;Standard;0;58200;23.7714
NearlySorted;Standard;0;58300;24.4523
NearlySorted;Standard;0;58400;24.7504
NearlySorted;Standard;0;58500;24.9623
NearlySorted;Standard;0;58600;23.9417
NearlySorted;Standard;0;58700;23.9709
NearlySorted;Standard;0;58800;24.8265
NearlySorted;Standard;0;58900;24.0592
NearlySorted;Standard;0;59000;24.4597
NearlySorted;Standard;0;59100;24.8684
NearlySorted;Standard;0;59200;24.9992
